Uma longa viagem começa com um único passo.; (Lao-Tsé)
Ignorante não é aquele sem instrução; é aquele que não conhece a si próprio.; (Krisnamurti)
Não espere por uma crise para descobrir o que é importante em sua vida.; (Platão)
Só quem entende a beleza do perdão, pode julgar seus semelhantes.; (Sócrates)
O inimigo mais perigoso que você poderá encontrar será sempre você mesmo.; (Nietzsche)
Até mesmo a bondade, se em demasia, morre do próprio excesso.; (William  Shakespeare)
Brincar é condição fundamental para ser sério.; (Arquimedes)
A virtude da humanidade consiste em amar os homens; a prudência, em conhecê-los.; (Confúcio)
Censura teus amigos em particular e elogia-os em público.; (Públilius Syrius)
Toma conselhos com o vinho, mas toma decisões com a água.; (Benjamim Franklin)
Sejamos como os rios, que renovam constantemente suas águas.; (Carlos Bernardo González Pecotche)
Quando as lutas que a vida lhe oferecer forem duras, suavize-as. Não aumente sua dureza tornando-se pessimista ou deixando que sua fortaleza decaia.; (Carlos Bernardo González Pecotche)
Faça da luta, em todo momento, um ensinamento; torne doce seu sabor quando essa luta lhe for amarga.; (Carlos Bernardo González Pecotche)
Em tudo na vida, a perfeição é finalmente atingida não quando não existe mais nada para acrescentar, mas sim quando já não há mais nada para tirar...; (Antoine de Saint-Exupéry)
E vão fazer com muitos o que pode ser feito com alguns.; (W. Occam)
A sabedoria não nos é dada; é preciso descobrí-la por nós mesmos depois de uma viagem que ninguém nos pode poupar ou fazer por nós.; (Marcel Proust)
Discordo daquilo que dizes, mas defenderei até à morte o teu direito de o dizeres.; (Voltaire)
O abraço nos faz lembrar quem realmente somos.; (Ary Itnem Whitacker)
Se a vida comum não satisfaz, nada mais lógico que dirigir-se para onde  a existência se torne mais doce e grata, sem esquecer jamais que quando a crisálida se converte em borboleta, deixa para sempre de rastejar.; (González Pecotche)
A história conta o que aconteceu; a poesia, o que deveria acontecer.; (Aristóteles)
Tu te tornas eternamente responsável por aquilo que cativas.; (Saint-Exupéry)
O caráter de um homem é formado pelas pessoas que escolheu para conviver.; (Sigmund Freud)
Por que repetir erros antigos se há tantos erros novos a escolher?; (Bertrand Russel)
O único homem que nunca comete erros é aquele que nunca faz coisa alguma. Não tenha medo de errar, pois você aprenderá a não cometer duas vezes o mesmo erro.; (Roosevelt)
Nossos fracassos são, às vezes, mais frutíferos que os êxitos.; (Henry Ford)
